Ordinal_Position	Table_Catalog	Table_Schema	Table_Name	Column_Name	Is_Nullable	Data_Type	Numeric_Precision	Numeric_Scale
1	def	jgalatti_twilight	cottage	cottage_number	NO	int	10	0
2	def	jgalatti_twilight	cottage	addr	NO	varchar		
3	def	jgalatti_twilight	cottage	phone	YES	varchar		
4	def	jgalatti_twilight	cottage	alt_phone	YES	varchar		
5	def	jgalatti_twilight	cottage	name	NO	varchar		
1	def	jgalatti_twilight	distHold	family_number	NO	varchar		
2	def	jgalatti_twilight	distHold	family_generation	NO	varchar		
3	def	jgalatti_twilight	distHold	family_type	NO	varchar		
4	def	jgalatti_twilight	distHold	root	NO	varchar		
5	def	jgalatti_twilight	distHold	suffix	NO	varchar		
6	def	jgalatti_twilight	distHold	rowid	NO	int	10	0
1	def	jgalatti_twilight	dual	f1	NO	varchar		
1	def	jgalatti_twilight	email	Name	NO	varchar		
2	def	jgalatti_twilight	email	displayName	NO	varchar		
3	def	jgalatti_twilight	email	filePrefix	NO	varchar		
4	def	jgalatti_twilight	email	seqNo	NO	int	10	0
5	def	jgalatti_twilight	email	rowid	NO	int	10	0
1	def	jgalatti_twilight	emailAtt	processId	NO	int	10	0
2	def	jgalatti_twilight	emailAtt	FileName	NO	varchar		
3	def	jgalatti_twilight	emailAtt	rowid	NO	int	10	0
1	def	jgalatti_twilight	emailProcess	name	NO	varchar		
2	def	jgalatti_twilight	emailProcess	board	NO	int	10	0
3	def	jgalatti_twilight	emailProcess	HTTP_HOST	NO	varchar		
4	def	jgalatti_twilight	emailProcess	subjectFile	NO	varchar		
5	def	jgalatti_twilight	emailProcess	respFile	NO	varchar		
6	def	jgalatti_twilight	emailProcess	mailFile	NO	varchar		
7	def	jgalatti_twilight	emailProcess	attFile	YES	varchar		
8	def	jgalatti_twilight	emailProcess	processed	NO	varchar		
9	def	jgalatti_twilight	emailProcess	processID	NO	int	10	0
10	def	jgalatti_twilight	emailProcess	rowid	NO	int	10	0
1	def	jgalatti_twilight	htmlcell	table_name	NO	varchar		
2	def	jgalatti_twilight	htmlcell	field_name	NO	varchar		
3	def	jgalatti_twilight	htmlcell	field_value	YES	varchar		
4	def	jgalatti_twilight	htmlcell	where_condition	YES	varchar		
5	def	jgalatti_twilight	htmlcell	field_display	NO	varchar		
6	def	jgalatti_twilight	htmlcell	field_type	NO	varchar		
7	def	jgalatti_twilight	htmlcell	row_pos	NO	int	10	0
8	def	jgalatti_twilight	htmlcell	col_pos	NO	int	10	0
9	def	jgalatti_twilight	htmlcell	display_length	NO	int	10	0
10	def	jgalatti_twilight	htmlcell	field_length	NO	int	10	0
11	def	jgalatti_twilight	htmlcell	required	YES	char		
12	def	jgalatti_twilight	htmlcell	classname	YES	varchar		
13	def	jgalatti_twilight	htmlcell	align	YES	varchar		
14	def	jgalatti_twilight	htmlcell	valign	YES	varchar		
15	def	jgalatti_twilight	htmlcell	c_char	YES	varchar		
16	def	jgalatti_twilight	htmlcell	charoff	YES	varchar		
17	def	jgalatti_twilight	htmlcell	colspan	YES	int	10	0
18	def	jgalatti_twilight	htmlcell	rowspan	YES	int	10	0
19	def	jgalatti_twilight	htmlcell	on_change	YES	varchar		
1	def	jgalatti_twilight	htmlcolgroup	table_name	NO	varchar		
2	def	jgalatti_twilight	htmlcolgroup	colgroup	NO	varchar		
3	def	jgalatti_twilight	htmlcolgroup	classname	YES	varchar		
4	def	jgalatti_twilight	htmlcolgroup	pos	NO	int	10	0
5	def	jgalatti_twilight	htmlcolgroup	align	YES	varchar		
6	def	jgalatti_twilight	htmlcolgroup	c_char	YES	varchar		
7	def	jgalatti_twilight	htmlcolgroup	charoff	YES	varchar		
8	def	jgalatti_twilight	htmlcolgroup	valign	YES	varchar		
9	def	jgalatti_twilight	htmlcolgroup	span	YES	int	10	0
