family_number	family_generation	family_type	root	suffix	rowid
1	00	h	r	i	164
1	00	w	-	b	93
1	00	w	-	i	165
1	0001	h	-	i	166
1	0001	w	-	i	167
1	000101	x	-	i	168
1	000102	x	-	i	169
1	0002	h	-	i	170
1	0002	w	-	b	55
1	0002	w	-	i	171
1	000201	x		i	172
1	000202	x	-	i	173
1	000203	x		i	174
1	0003	h	-	i	175
1	0003	w	-	b	73
1	0003	w	-	i	176
1	000301	x		i	177
10	00	h	r	i	178
10	00	w	-	i	179
10	0001	h	-	i	180
10	0001	w		i	181
1000	00	w		b	14
1000	0001	x		d	142
1000	0001	x		f	143
1001	00	w		b	15
1002	00	h	r	b	18
1002	00	w		b	17
1003	00	w		b	24
1003	0001	x		f	103
1003	0002	x		f	104
1007	00	h	r	b	69
1007	00	w		b	48
1008	00	h	r	b	67
1008	00	w		b	66
1009	00	h	r	b	33
1009	00	w		b	105
101	00	h	r	i	182
101	00	w	-	b	35
101	00	w	-	i	183
101	0001	x		i	184
101	0002	x		i	185
101	0003	x		i	186
101	0004	x		i	187
1010	00	h	r	b	106
1010	00	w		b	28
1011	00	h	r	b	107
1011	00	w		b	38
1012	00	h	r	b	108
1012	00	w		b	61
1013	00	h	r	b	109
1013	00	w		b	110
1014	00	h	r	b	111
1014	00	w		b	80
1015	00	w	r	b	112
1016	00	w	r	b	113
1016	0001	x		f	114
1017	00	w	r	b	115
1018	00	h	r	b	116
1018	00	w		b	117
1019	00	w	r	b	118
102	00	h	r	b	60
102	00	h	r	i	188
102	0001	x		e	144
102	0001	x		f	145
102	0001	x		i	189
1020	00	w	r	b	119
1021	00	w	r	b	120
1022	00	w	r	b	121
1023	00	w	r	b	26
1024	00	w	r	b	32
103	00	h	r	i	190
104	00	h	r	i	191
104	00	w	-	i	192
104	0001	h	-	i	193
104	0002	h	-	i	194
104	0002	w	-	i	195
104	000201	x	-	i	196
104	000202	x	-	i	197
104	0003	h	-	i	198
104	0003	w	-	i	199
104	000301	x	-	i	200
11	00	h	r	i	201
11	00	w	-	i	202
11	0001	h	-	i	203
11	0001	w	-	b	41
11	0001	w	-	i	204
11	000101	x		i	205
11	000102	x	-	i	206
11	0002	h	-	i	207
11	0002	w	-	i	208
12	00	h	r	b	83
12	00	h	r	i	209
12	00	w	-	i	210
12	0001	h	-	i	211
12	0001	w	-	i	212
12	000101	x	-	i	213
12	000102	x	-	i	214
12	0002	h	-	i	215
12	0002	w	-	i	216
12	0003	h	-	i	217
12	0003	w	-	i	218
12	000301	x	-	i	219
12	0004	h	-	b	78
12	0004	h	-	i	220
12	0004	w	-	i	221
12	000401	x	-	i	222
12	0005	h	-	b	65
12	0005	h	-	i	223
12	0005	w	-	b	37
12	0005	w	-	i	224
12	000501	x	-	i	225
14	00	h	r	i	226
14	00	w	-	i	227
14	0001	h	-	i	228
14	0001	w		i	229
15	00	w	r	b	82
15	00	w	r	i	230
15	0001	h	-	i	231
15	0001	w	-	i	232
15	000101	x	-	i	233
15	000102	x	-	i	234
15	000103	x		i	235
15	0002	h	-	i	236
15	0003	h	-	i	237
15	0003	w	-	b	63
15	0003	w	-	i	238
15	000301	x	-	i	239
15	000302	x		i	240
15	000303	x	-	i	241
16	00	h	r	i	242
16	0001	h	r	i	243
16	0001	w	-	b	99
16	0001	w	-	i	244
16	000101	h		b	43
16	000101	h		i	245
16	000101	w		i	246
16	00010101	x		i	247
16	00010102	x		i	248
16	00010103	x		i	249
16	0002	h		i	250
16	0002	w		i	251
16	0003	h		i	252
16	0003	w		i	253
