family_number	family_generation	family_type	root	pref_type	pref_value	active	rowid
71	00	w	-	CALENDAR_CATAGORY	Park	Y	1027
71	00	w	-	CALENDAR_CATAGORY	All Angels	Y	1028
71	00	w	-	CALENDAR_CATAGORY	Youth Activities	Y	1029
71	00	w	-	CALENDAR_CATAGORY	Tennis	Y	1030
71	00	w	-	CALENDAR_CATAGORY	Art	Y	1031
71	00	w	-	CALENDAR_CATAGORY	Pool	Y	1032
71	00	w	-	CALENDAR_CATAGORY	LingerNot Society	Y	1033
71	00	w	-	CALENDAR_CATAGORY	Garden	Y	1034
71	00	w	-	CALENDAR_CATAGORY	Ping Pong	Y	1035
1	000301	x		CALENDAR_CATAGORY	Park	Y	1045
1	000301	x		CALENDAR_CATAGORY	All Angels	Y	1046
1	000301	x		CALENDAR_CATAGORY	Youth Activities	Y	1047
1	000301	x		CALENDAR_CATAGORY	Tennis	Y	1048
1	000301	x		CALENDAR_CATAGORY	Art	Y	1049
1	000301	x		CALENDAR_CATAGORY	Pool	Y	1050
1	000301	x		CALENDAR_CATAGORY	LingerNot Society	Y	1051
1	000301	x		CALENDAR_CATAGORY	Garden	Y	1052
1	000301	x		CALENDAR_CATAGORY	Ping Pong	Y	1053
532	00	w	-	CALENDAR_CATAGORY	Park	Y	1081
532	00	w	-	CALENDAR_CATAGORY	All Angels	Y	1082
532	00	w	-	CALENDAR_CATAGORY	Youth Activities	Y	1083
532	00	w	-	CALENDAR_CATAGORY	Tennis	Y	1084
532	00	w	-	CALENDAR_CATAGORY	Art	Y	1085
532	00	w	-	CALENDAR_CATAGORY	Pool	Y	1086
532	00	w	-	CALENDAR_CATAGORY	LingerNot Society	Y	1087
532	00	w	-	CALENDAR_CATAGORY	Garden	Y	1088
532	00	w	-	CALENDAR_CATAGORY	Ping Pong	Y	1089
38	0002	w	-	CALENDAR_CATAGORY	Park	Y	1117
38	0002	w	-	CALENDAR_CATAGORY	All Angels	Y	1118
38	0002	w	-	CALENDAR_CATAGORY	Youth Activities	Y	1119
38	0002	w	-	CALENDAR_CATAGORY	Tennis	Y	1120
38	0002	w	-	CALENDAR_CATAGORY	Art	Y	1121
38	0002	w	-	CALENDAR_CATAGORY	Pool	Y	1122
38	0002	w	-	CALENDAR_CATAGORY	LingerNot Society	Y	1123
38	0002	w	-	CALENDAR_CATAGORY	Garden	Y	1124
38	0002	w	-	CALENDAR_CATAGORY	Ping Pong	Y	1125
57	00	w	r	CALENDAR_CATAGORY	All Angels	Y	1127
57	00	w	r	CALENDAR_CATAGORY	Youth Activities	Y	1128
57	00	w	r	CALENDAR_CATAGORY	Tennis	Y	1129
57	00	w	r	CALENDAR_CATAGORY	Art	Y	1130
57	00	w	r	CALENDAR_CATAGORY	Pool	Y	1131
57	00	w	r	CALENDAR_CATAGORY	LingerNot Society	Y	1132
57	00	w	r	CALENDAR_CATAGORY	Garden	Y	1133
57	00	w	r	CALENDAR_CATAGORY	Ping Pong	Y	1134
80	0002	x	-	CALENDAR_CATAGORY	Park	Y	1135
80	0002	x	-	CALENDAR_CATAGORY	All Angels	Y	1136
80	0002	x	-	CALENDAR_CATAGORY	Youth Activities	Y	1137
80	0002	x	-	CALENDAR_CATAGORY	Tennis	Y	1138
80	0002	x	-	CALENDAR_CATAGORY	Art	Y	1139
80	0002	x	-	CALENDAR_CATAGORY	Pool	Y	1140
80	0002	x	-	CALENDAR_CATAGORY	LingerNot Society	Y	1141
80	0002	x	-	CALENDAR_CATAGORY	Garden	Y	1142
80	0002	x	-	CALENDAR_CATAGORY	Ping Pong	Y	1143
1	00	h	r	CALENDAR_CATAGORY	All Angels	Y	1144
1	00	h	r	CALENDAR_CATAGORY	Art	Y	1145
1	00	h	r	CALENDAR_CATAGORY	Garden	Y	1146
1	00	h	r	CALENDAR_CATAGORY	LingerNot Society	Y	1147
1	00	h	r	CALENDAR_CATAGORY	Park	Y	1148
1	00	h	r	CALENDAR_CATAGORY	Ping Pong	Y	1149
1	00	h	r	CALENDAR_CATAGORY	Pool	Y	1150
1	00	h	r	CALENDAR_CATAGORY	Tennis	Y	1151
1	00	h	r	CALENDAR_CATAGORY	Youth Activities	Y	1152
1	00	w	-	CALENDAR_CATAGORY	All Angels	Y	1153
1	00	w	-	CALENDAR_CATAGORY	Art	Y	1154
1	00	w	-	CALENDAR_CATAGORY	Garden	Y	1155
